2025-11-14 07:24:14,213 - INFO - [no-full-stop] Segment 18 (2-filtered-properties): total = 43, inaccuracies = 43 (100.00%)
2025-11-14 07:24:14,223 - INFO - [no-full-stop] Segment 19 (2-filtered-properties): total = 1859, inaccuracies = 1850 (99.52%)
2025-11-14 07:24:14,227 - INFO - [no-full-stop] Segment 20 (2-filtered-properties): total = 307, inaccuracies = 304 (99.02%)
2025-11-14 07:24:14,275 - INFO - [no-full-stop] Segment 21 (2-filtered-properties): total = 3492, inaccuracies = 3476 (99.54%)
2025-11-14 07:24:14,284 - INFO - [no-full-stop] Segment 22 (2-filtered-properties): total = 2062, inaccuracies = 2042 (99.03%)
2025-11-14 07:24:14,290 - INFO - [no-full-stop] Segment 23 (2-filtered-properties): total = 1493, inaccuracies = 1475 (98.79%)
2025-11-14 07:24:14,299 - INFO - [no-full-stop] Segment 24 (2-filtered-properties): total = 1904, inaccuracies = 1884 (98.95%)
2025-11-14 07:24:14,302 - INFO - [no-full-stop] Segment 25 (2-filtered-properties): total = 156, inaccuracies = 155 (99.36%)
2025-11-14 07:24:14,305 - INFO - [no-full-stop] Segment 26 (2-filtered-properties): total = 80, inaccuracies = 80 (100.00%)
2025-11-14 07:24:14,334 - INFO - [no-full-stop] Segment 27 (2-filtered-properties): total = 8560, inaccuracies = 8526 (99.60%)
2025-11-14 07:24:14,338 - INFO - [no-full-stop] Segment 28 (2-filtered-properties): total = 73, inaccuracies = 73 (100.00%)
2025-11-14 07:24:14,348 - INFO - [no-full-stop] Segment 29 (2-filtered-properties): total = 1871, inaccuracies = 1854 (99.09%)
2025-11-14 07:24:14,351 - INFO - [no-full-stop] Segment 30 (2-filtered-properties): total = 141, inaccuracies = 139 (98.58%)
2025-11-14 07:24:14,353 - INFO - [no-full-stop] Segment 31 (2-filtered-properties): total = 42, inaccuracies = 42 (100.00%)
2025-11-14 07:24:14,358 - INFO - [no-full-stop] Segment 32 (2-filtered-properties): total = 447, inaccuracies = 444 (99.33%)
2025-11-14 07:24:14,361 - INFO - [no-full-stop] Segment 33 (2-filtered-properties): total = 45, inaccuracies = 45 (100.00%)
2025-11-14 07:24:14,372 - INFO - [no-full-stop] Segment 34 (2-filtered-properties): total = 2598, inaccuracies = 2596 (99.92%)
2025-11-14 07:24:14,376 - INFO - [no-full-stop] Segment 35 (2-filtered-properties): total = 275, inaccuracies = 270 (98.18%)
2025-11-14 07:24:14,394 - INFO - [no-full-stop] Segment 36 (2-filtered-properties): total = 3140, inaccuracies = 2973 (94.68%)
2025-11-14 07:24:14,401 - INFO - [no-full-stop] Segment 37 (2-filtered-properties): total = 394, inaccuracies = 362 (91.88%)
2025-11-14 07:24:14,406 - INFO - [no-full-stop] Segment 38 (2-filtered-properties): total = 116, inaccuracies = 116 (100.00%)
2025-11-14 07:24:14,411 - INFO - [no-full-stop] Segment 39 (2-filtered-properties): total = 114, inaccuracies = 114 (100.00%)
